Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,22.245001,22.424999,22.014999,22.219999,19.612560,17265000
2023-05-16,22.219999,22.370001,21.465000,21.580000,19.047661,43215400
2023-05-17,21.625000,21.924999,21.465000,21.615000,19.078552,35046200
2023-05-18,21.549999,21.660000,21.400000,21.600000,19.065315,23424000
2023-05-19,21.670000,22.059999,21.495001,22.020000,19.436029,67932000
2023-05-22,22.025000,22.305000,21.719999,21.730000,19.180058,16150800
2023-05-23,21.740000,22.315001,21.670000,22.240000,19.630213,25822400
2023-05-24,22.240000,22.490000,22.080000,22.305000,19.687586,21842800
2023-05-25,22.500000,22.700001,22.330000,22.330000,19.709648,23390800
2023-05-26,22.625000,22.660000,22.075001,22.200001,19.594908,19180600
2023-05-29,22.280001,22.280001,22.004999,22.160000,19.559599,6615800
2023-05-30,22.400000,22.430000,22.105000,22.350000,19.727304,36854000
2023-05-31,22.370001,22.570000,22.260000,22.309999,19.691998,34850800
2023-06-01,22.395000,22.514999,22.129999,22.370001,19.744959,20393800
2023-06-02,22.370001,22.370001,22.370001,22.370001,20.339991,0
2023-06-05,22.299999,22.645000,22.075001,22.510000,20.467285,27334000
2023-06-06,22.514999,23.080000,22.480000,22.770000,20.703693,22932200
2023-06-07,22.865000,22.945000,22.760000,22.760000,20.694597,22222000
2023-06-09,22.870001,23.870001,22.870001,23.870001,21.703871,36932200
2023-06-12,24.035000,24.870001,23.985001,24.735001,22.490374,77115600
2023-06-13,24.590000,24.745001,24.195000,24.309999,22.410753,26532200
2023-06-14,24.400000,24.500000,24.049999,24.430000,22.521378,26083800
2023-06-15,24.450001,25.120001,24.350000,24.930000,22.982315,41930800
2023-06-16,24.920000,24.955000,24.625000,24.745001,22.811769,30393800
2023-06-19,24.785000,25.235001,24.760000,25.205000,23.235828,11787200
2023-06-20,25.145000,25.230000,24.975000,25.200001,23.231220,17141000
2023-06-21,25.100000,25.995001,25.070000,25.995001,23.964109,27413000
2023-06-22,25.820000,25.930000,25.330000,25.500000,23.507780,18000800
2023-06-23,25.555000,25.570000,25.280001,25.510000,23.517000,13483800
2023-06-26,25.370001,25.695000,25.225000,25.570000,23.572315,16848400
2023-06-27,25.584999,25.740000,24.934999,25.100000,23.139032,25779000
2023-06-28,25.055000,25.100000,24.615000,24.795000,22.857864,15524200
2023-06-29,24.780001,25.100000,24.610001,25.025000,23.069891,16565200
2023-06-30,25.200001,25.400000,24.465000,24.700001,22.770285,28009000
2023-07-03,24.780001,25.250000,24.760000,25.195000,23.226612,26031200
2023-07-04,25.195000,25.225000,24.915001,25.035000,23.079111,7572800
2023-07-05,25.000000,25.004999,24.700001,24.870001,22.927002,11332400
2023-07-06,24.764999,24.790001,24.320000,24.504999,22.590517,19116000
2023-07-07,24.520000,25.160000,24.520000,24.980000,23.028406,23079200
2023-07-10,24.995001,25.025000,24.395000,24.520000,22.604345,17806000
2023-07-11,24.500000,24.510000,23.940001,24.170000,22.281691,24673600
2023-07-12,24.469999,24.469999,23.680000,23.780001,21.922159,24458200
2023-07-13,23.930000,24.190001,23.795000,24.004999,22.129581,14068400
2023-07-14,23.980000,24.355000,23.705000,23.844999,21.982080,26211600
2023-07-17,23.900000,24.094999,23.730000,24.055000,22.175676,10774000
2023-07-18,24.049999,24.225000,23.920000,24.135000,22.249426,9060600
2023-07-19,24.200001,24.200001,23.660000,23.715000,21.862236,16210800
2023-07-20,23.780001,24.025000,23.700001,23.975000,22.101927,13507600
2023-07-21,23.975000,24.424999,23.975000,24.260000,22.364656,20264400
2023-07-24,24.120001,24.424999,23.590000,23.785000,21.926767,35741000
2023-07-25,24.129999,24.129999,23.650000,23.660000,21.811535,21533400
2023-07-26,23.705000,23.900000,23.535000,23.860001,21.995911,24767000
2023-07-27,23.860001,23.879999,23.325001,23.370001,21.544191,23501400
2023-07-28,23.565001,23.785000,23.430000,23.639999,21.793098,14552200
2023-07-31,23.799999,24.160000,23.740000,24.094999,22.212551,20779800
2023-08-01,23.959999,24.014999,23.469999,23.680000,21.829973,25360200
2023-08-02,23.629999,23.879999,23.549999,23.785000,21.926767,11204000
2023-08-03,23.950001,23.990000,23.670000,23.825001,21.963644,16752600
2023-08-04,23.750000,23.980000,23.525000,23.700001,21.848412,22979000
2023-08-07,23.809999,24.000000,23.600000,23.660000,21.811535,11456400
2023-08-08,23.615000,23.695000,23.180000,23.495001,21.659428,23776200
2023-08-09,23.500000,23.575001,23.254999,23.365000,21.539581,15315400
2023-08-10,23.549999,23.650000,23.365000,23.485001,21.650209,24978000
2023-08-11,23.590000,23.830000,23.520000,23.740000,21.885284,17290800
2023-08-14,23.844999,23.844999,23.469999,23.504999,21.668644,13148400
2023-08-15,23.570000,23.670000,23.340000,23.379999,21.553408,17451800
2023-08-16,23.405001,23.865000,23.405001,23.580000,21.737783,23000000
2023-08-17,23.754999,23.850000,23.590000,23.799999,21.940596,18367600
2023-08-18,23.790001,24.059999,23.665001,23.895000,22.028177,20640200
2023-08-21,24.000000,24.025000,23.655001,23.809999,21.949816,15745000
2023-08-22,23.600000,24.040001,23.540001,23.985001,22.750256,15715200
2023-08-23,24.055000,24.240000,23.815001,24.090000,22.849850,15535200
2023-08-24,24.049999,24.049999,23.665001,23.775000,22.551065,12775200
2023-08-25,23.805000,23.850000,23.205000,23.465000,22.257025,17948200
2023-08-28,23.580000,24.250000,23.475000,24.139999,22.897276,15418400
2023-08-29,24.264999,24.620001,24.165001,24.275000,23.025328,19569600
2023-08-30,24.350000,24.440001,23.900000,23.924999,22.693344,11510800
2023-08-31,23.975000,23.990000,23.510000,23.549999,22.337650,26407200
2023-09-01,23.615000,23.850000,23.594999,23.709999,22.489410,11074000
2023-09-04,23.750000,23.850000,23.590000,23.635000,22.418274,7264600
2023-09-05,23.674999,23.900000,23.504999,23.549999,22.337650,15288200
2023-09-06,23.610001,23.725000,23.385000,23.389999,22.185884,14183600
2023-09-08,23.424999,23.510000,23.150000,23.320000,22.119490,15485200
2023-09-11,23.540001,23.770000,23.420000,23.690001,22.470442,14399800
2023-09-12,23.594999,23.809999,23.545000,23.650000,22.753487,15370400
2023-09-13,23.674999,23.950001,23.565001,23.629999,22.734243,14725600
2023-09-14,23.745001,23.959999,23.594999,23.695000,22.796780,14569800
2023-09-15,23.709999,23.850000,23.555000,23.775000,22.873749,21606000
2023-09-18,23.820000,24.055000,23.674999,23.674999,22.777538,20200800
2023-09-19,23.674999,23.885000,23.535000,23.639999,22.743866,15278200
2023-09-20,23.660000,24.125000,23.635000,23.850000,22.945904,14760600
2023-09-21,23.660000,23.695000,23.235001,23.305000,22.421566,16633600
2023-09-22,23.379999,23.565001,23.299999,23.344999,22.460049,10722800
2023-09-25,23.309999,23.385000,23.084999,23.209999,22.330164,18254000
2023-09-26,23.014999,23.110001,22.785000,22.879999,22.012674,23590000
2023-09-27,23.075001,23.254999,22.809999,23.080000,22.205095,22109000
2023-09-28,23.145000,23.900000,23.115000,23.820000,22.917042,23827200
2023-09-29,23.920000,23.945000,23.549999,23.590000,22.695763,10906400
2023-10-02,23.584999,23.674999,23.450001,23.525000,22.633224,9462400
2023-10-03,23.540001,23.559999,23.160000,23.225000,22.344599,12873200
2023-10-04,23.299999,23.535000,23.090000,23.400000,22.512964,16379400
2023-10-05,23.389999,23.920000,23.299999,23.469999,22.580311,15530000
2023-10-06,23.469999,24.615000,23.355000,24.424999,23.499109,41413600
2023-10-09,24.270000,24.455000,24.115000,24.295000,23.374039,19707000
2023-10-10,24.325001,24.565001,24.235001,24.254999,23.335552,19682000
